day,San_Lorenzo,Reyes,Sena,Santa_Rosa_Pando,Ixiamas,Porvenir,Nueva_Esperanza,Santa_Rosa_Beni,Bella_Flor,Puerto_Gonzalo_Moreno,Puerto_Rico,Bolpebra,Guayamerin,Riberalta,Exaltacion,Cobija,San_Pedro,Villa_Nueva,Santos_Mercado,Filadelfia,Ingavi
21,4270.810345350917,4563.204055670552,3835.5519692359394,4266.963981880598,5027.831593022151,4434.759183341784,4407.371556127173,4012.7479866294557,4360.535553204797,4213.676845624889,4328.902916492469,4422.623059140871,4177.21735868425,4213.682037223063,4259.53495758836,4415.621730921693,4389.842582976489,3722.1291539353924,3628.873810765991,4450.283054392014,4302.120072291556
22,4269.971072755843,4562.364783075478,3834.7126966408655,4266.124709285524,5026.992320427077,4433.91991074671,4406.5322835320985,4011.908714034382,4359.6962806097235,4212.837573029816,4328.063643897395,4421.783786545798,4176.378086089177,4212.842764627989,4258.695684993286,4414.782458326619,4389.003310381415,3721.289881340318,3628.0345381709176,4449.443781796939,4301.280799696483
23,4269.229951958989,4561.623662278625,3833.971575844012,4265.38358848867,5026.251199630223,4433.178789949857,4405.791162735246,4011.1675932375288,4358.955159812869,4212.096452232962,4327.322523100541,4421.042665748944,4175.636965292322,4212.101643831135,4257.954564196432,4414.041337529765,4388.262189584561,3720.5487605434646,3627.293417374064,4448.702661000087,4300.5396788996295
24,4268.587202570446,4560.98091289008,3833.3288264554685,4264.740839100126,5025.60845024168,4432.536040561313,4405.1484133467,4010.524843848985,4358.312410424326,4211.453702844417,4326.679773711998,4420.3999163604,4174.994215903777,4211.458894442591,4257.311814807888,4413.398588141222,4387.6194401960165,3719.906011154921,3626.6506679855192,4448.059911611543,4299.896929511086
25,4268.0430150507245,4560.43672537036,3832.7846389357474,4264.196651580406,5025.064262721959,4431.991853041592,4404.604225826981,4009.9806563292636,4357.768222904605,4210.909515324697,4326.135586192277,4419.855728840679,4174.450028384058,4210.914706922871,4256.767627288168,4412.854400621501,4387.075252676297,3719.3618236352004,3626.106480465799,4447.5157240918215,4299.352741991364
26,4267.597550654335,4559.99126097397,3832.339174539358,4263.751187184017,5024.618798325569,4431.5463886452035,4404.158761430591,4009.5351919328746,4357.322758508215,4210.464050928308,4325.690121795887,4419.41026444429,4174.004563987668,4210.469242526481,4256.322162891778,4412.408936225111,4386.629788279907,3718.916359238811,3625.66101606941,4447.0702596954325,4298.907277594975
27,4267.250941381991,4559.644651701627,3831.9925652670136,4263.404577911671,5024.272189053225,4431.199779372859,4403.812152158247,4009.1885826605303,4356.976149235871,4210.117441655963,4325.343512523543,4419.063655171945,4173.657954715324,4210.122633254137,4255.975553619434,4412.062326952767,4386.283179007563,3718.569749966466,3625.3144067970657,4446.723650423089,4298.5606683226315
28,4267.0032899415,4559.397000261136,3831.7449138265224,4263.156926471181,5024.024537612734,4430.952127932367,4403.564500717756,4008.9409312200396,4356.7284977953805,4209.869790215473,4325.095861083052,4418.816003731455,4173.4103032748335,4209.874981813647,4255.727902178944,4411.814675512276,4386.035527567073,3718.3220985259754,3625.0667553565745,4446.475998982597,4298.313016882141
29,4266.854669717329,4559.248380036964,3831.596293602351,4263.00830624701,5023.875917388563,4430.803507708197,4403.415880493584,4008.792310995868,4356.579877571209,4209.721169991302,4324.947240858881,4418.667383507283,4173.261683050661,4209.726361589474,4255.579281954771,4411.666055288104,4385.8869073429005,3718.173478301804,3624.918135132403,4446.327378758426,4298.164396657969
30,4266.805124748858,4559.198835068493,3831.5467486338803,4262.958761278539,5023.8263724200915,4430.7539627397255,4403.366335525114,4008.742766027397,4356.530332602739,4209.671625022831,4324.89769589041,4418.617838538812,4173.212138082191,4209.676816621004,4255.5297369863,4411.616510319634,4385.837362374429,3718.1239333333333,3624.8685901639324,4446.2778337899545,4298.114851689497
31,4266.854669717329,4559.248380036964,3831.596293602351,4263.00830624701,5023.875917388563,4430.803507708197,4403.415880493584,4008.792310995868,4356.579877571209,4209.721169991302,4324.947240858881,4418.667383507283,4173.261683050661,4209.726361589474,4255.579281954771,4411.666055288104,4385.8869073429005,3718.173478301804,3624.918135132403,4446.327378758426,4298.164396657969
32,4267.0032899415,4559.397000261136,3831.7449138265224,4263.156926471181,5024.024537612734,4430.952127932367,4403.564500717756,4008.9409312200396,4356.7284977953805,4209.869790215473,4325.095861083052,4418.816003731455,4173.4103032748335,4209.874981813647,4255.727902178944,4411.814675512276,4386.035527567073,3718.3220985259754,3625.0667553565745,4446.475998982597,4298.313016882141
33,4267.250941381991,4559.644651701627,3831.9925652670136,4263.404577911671,5024.272189053225,4431.199779372859,4403.812152158247,4009.1885826605303,4356.976149235871,4210.117441655963,4325.343512523543,4419.063655171945,4173.657954715324,4210.122633254137,4255.975553619434,4412.062326952767,4386.283179007563,3718.569749966466,3625.3144067970657,4446.723650423089,4298.5606683226315
34,4267.597550654335,4559.99126097397,3832.339174539358,4263.751187184017,5024.618798325569,4431.5463886452035,4404.158761430591,4009.5351919328746,4357.322758508215,4210.464050928308,4325.690121795887,4419.41026444429,4174.004563987668,4210.469242526481,4256.322162891778,4412.408936225111,4386.629788279907,3718.916359238811,3625.66101606941,4447.0702596954325,4298.907277594975
35,4268.0430150507245,4560.43672537036,3832.7846389357474,4264.196651580406,5025.064262721959,4431.991853041592,4404.604225826981,4009.9806563292636,4357.768222904605,4210.909515324697,4326.135586192277,4419.855728840679,4174.450028384058,4210.914706922871,4256.767627288168,4412.854400621501,4387.075252676297,3719.3618236352004,3626.106480465799,4447.5157240918215,4299.352741991364
36,4268.587202570446,4560.98091289008,3833.3288264554685,4264.740839100126,5025.60845024168,4432.536040561313,4405.1484133467,4010.524843848985,4358.312410424326,4211.453702844417,4326.679773711998,4420.3999163604,4174.994215903777,4211.458894442591,4257.311814807888,4413.398588141222,4387.6194401960165,3719.906011154921,3626.6506679855192,4448.059911611543,4299.896929511086
37,4269.229951958989,4561.623662278625,3833.971575844012,4265.38358848867,5026.251199630223,4433.178789949857,4405.791162735246,4011.1675932375288,4358.955159812869,4212.096452232962,4327.322523100541,4421.042665748944,4175.636965292322,4212.101643831135,4257.954564196432,4414.041337529765,4388.262189584561,3720.5487605434646,3627.293417374064,4448.702661000087,4300.5396788996295
38,4269.971072755843,4562.364783075478,3834.7126966408655,4266.124709285524,5026.992320427077,4433.91991074671,4406.5322835320985,4011.908714034382,4359.6962806097235,4212.837573029816,4328.063643897395,4421.783786545798,4176.378086089177,4212.842764627989,4258.695684993286,4414.782458326619,4389.003310381415,3721.289881340318,3628.0345381709176,4449.443781796939,4301.280799696483
39,4270.810345350917,4563.204055670552,3835.5519692359394,4266.963981880598,5027.831593022151,4434.759183341784,4407.371556127173,4012.7479866294557,4360.535553204797,4213.676845624889,4328.902916492469,4422.623059140871,4177.21735868425,4213.682037223063,4259.53495758836,4415.621730921693,4389.842582976489,3722.1291539353924,3628.873810765991,4450.283054392014,4302.120072291556
40,4271.747521049631,4564.141231369266,3836.4891449346537,4267.901157579312,5028.768768720865,4435.6963590404985,4408.308731825888,4013.68516232817,4361.472728903512,4214.614021323604,4329.840092191183,4423.560234839586,4178.154534382965,4214.619212921777,4260.472133287075,4416.5589066204075,4390.779758675203,3723.0663296341063,3629.810986464706,4451.220230090728,4303.057247990271
41,4272.782322146599,4565.176032466235,3837.5239460316216,4268.935958676279,5029.803569817832,4436.731160137467,4409.343532922855,4014.7199634251383,4362.507530000479,4215.648822420571,4330.874893288151,4424.595035936553,4179.189335479932,4215.654014018745,4261.506934384042,4417.593707717375,4391.814559772171,3724.101130731074,3630.8457875616737,4452.255031187696,4304.092049087239
42,4273.914442007921,4566.308152327557,3838.656065892944,4270.068078537603,5030.935689679155,4437.863279998789,4410.475652784177,4015.85208328646,4363.639649861801,4216.780942281895,4332.007013149473,4425.727155797877,4180.3214553412545,4216.786133880068,4262.639054245365,4418.725827578697,4392.946679633494,3725.233250592397,3631.977907422996,4453.387151049019,4305.224168948561
43,4275.143545162052,4567.537255481686,3839.8851690470738,4271.2971816917325,5032.164792833285,4439.092383152919,4411.704755938308,4017.08118644059,4364.868753015931,4218.0100454360245,4333.236116303604,4426.9562589520065,4181.550558495384,4218.015237034197,4263.8681573994945,4419.954930732827,4394.175782787623,3726.4623537465263,3633.207010577126,4454.616254203148,4306.453272102691
44,4276.469267399199,4568.862977718835,3841.2108912842223,4272.62290392888,5033.490515070433,4440.418105390067,4413.030478175456,4018.406908677739,4366.19447525308,4219.335767673172,4334.5618385407515,4428.281981189154,4182.876280732533,4219.340959271346,4265.193879636643,4421.280652969976,4395.501505024772,3727.788075983675,3634.5327328142744,4455.9419764402965,4307.778994339839
45,4277.891215879254,4570.284926198889,3842.6328397642756,4274.044852408934,5034.912463550487,4441.840053870121,4414.452426655509,4019.8288571577923,4367.616423733134,4220.757716153226,4335.983787020806,4429.703929669207,4184.298229212586,4220.762907751399,4266.615828116696,4422.702601450029,4396.923453504825,3729.2100244637286,3635.9546812943277,4457.36392492035,4309.200942819893
46,4279.408969248191,4571.802679567826,3844.150593133213,4275.562605777872,5036.430216919425,4443.357807239058,4415.970180024447,4021.34661052673,4369.134177102072,4222.275469522164,4337.501540389743,4431.221683038145,4185.815982581524,4222.280661120337,4268.133581485634,4424.220354818966,4398.441206873763,3730.727777832666,3637.4724346632656,4458.881678289288,4310.718696188831
47,4281.022077762932,4573.415788082568,3845.763701647955,4277.1757142926135,5038.043325434166,4444.9709157538,4417.583288539188,4022.959719041472,4370.747285616812,4223.8885780369055,4339.114648904484,4432.834791552887,4187.429091096265,4223.893769635079,4269.746690000376,4425.833463333708,4400.054315388505,3732.340886347408,3639.085543178007,4460.49478680403,4312.331804703573
48,4282.730063424612,4575.123773744248,3847.471687309635,4278.883699954293,5039.751311095846,4446.67890141548,4419.291274200868,4024.6677047031517,4372.455271278493,4225.596563698585,4340.822634566164,4434.542777214567,4189.137076757946,4225.601755296759,4271.454675662056,4427.541448995388,4401.762301050185,3734.0488720090875,3640.793528839687,4462.20277246571,4314.039790365253
49,4284.532420120218,4576.926130439853,3849.2740440052403,4280.686056649899,5041.5536677914515,4448.4812581110855,4421.093630896474,4026.470061398757,4374.257627974099,4227.398920394191,4342.62499126177,4436.345133910172,4190.939433453551,4227.404111992364,4273.257032357661,4429.343805690994,4403.56465774579,3735.8512287046933,3642.595885535293,4464.0051291613145,4315.842147060857
50,4286.428613772561,4578.822324092196,3851.170237657584,4282.582250302243,5043.449861443795,4450.377451763429,4422.9898245488175,4028.3662550511003,4376.153821626442,4229.295114046535,4344.521184914113,4438.241327562517,4192.835627105895,4229.300305644707,4275.153226010005,4431.239999343337,4405.460851398133,3737.7474223570366,3644.492079187636,4465.901322813658,4317.738340713201
51,4288.4180824985415,4580.811792818177,3853.159706383564,4284.571719028222,5045.4393301697755,4452.366920489409,4424.979293274798,4030.355723777081,4378.143290352422,4231.284582772514,4346.510653640094,4440.230796288496,4194.825095831875,4231.289774370688,4277.142694735985,4433.229468069318,4407.450320124114,3739.736891083017,3646.4815479136164,4467.8907915396385,4319.727809439181
52,4290.500236775635,4582.893947095271,3855.2418606606584,4286.653873305318,5047.521484446869,4454.449074766503,4427.061447551891,4032.437878054175,4380.225444629516,4233.366737049608,4348.592807917187,4442.31295056559,4196.907250108969,4233.371928647782,4279.224849013079,4435.311622346411,4409.532474401208,3741.819045360111,3648.56370219071,4469.972945816733,4321.809963716276
53,4292.674459616599,4585.068169936235,3857.416083501622,4288.82809614628,5049.695707287832,4456.623297607467,4429.235670392855,4034.6121008951386,4382.3996674704795,4235.540959890572,4350.767030758151,4444.487173406554,4199.0814729499325,4235.546151488746,4281.399071854043,4437.485845187375,4411.706697242172,3743.9932682010744,3650.737925031674,4472.147168657696,4323.984186557239
54,4294.940106752277,4587.333817071913,3859.6817306372996,4291.093743281958,5051.961354423511,4458.888944743145,4431.501317528533,4036.8777480308163,4384.665314606157,4237.806607026249,4353.032677893829,4446.752820542231,4201.34712008561,4237.811798624423,4283.66471898972,4439.751492323053,4413.972344377849,3746.258915336752,3653.0035721673516,4474.412815793375,4326.2498336929175
55,4297.2965068225285,4589.6902171421625,3862.038130707551,4293.450143352209,5054.317754493762,4461.245344813396,4433.857717598784,4039.234148101067,4387.021714676409,4240.163007096501,4355.389077964081,4449.109220612483,4203.703520155861,4240.168198694674,4286.02111905997,4442.107892393305,4416.328744448099,3748.6153154070034,3655.3599722376025,4476.769215863625,4328.606233763167
56,4299.742961575155,4592.136671894791,3864.4845854601786,4295.896598104837,5056.764209246389,4463.691799566024,4436.3041723514125,4041.6806028536953,4389.468169429036,4242.609461849129,4357.835532716707,4451.555675365111,4206.149974908489,4242.614653447302,4288.467573812599,4444.554347145931,4418.775199200728,3751.061770159631,3657.8064269902306,4479.215670616253,4331.052688515796
57,4302.278746072818,4594.672456392454,3867.020369957841,4298.4323826025,5059.299993744052,4466.227584063687,4438.839956849074,4044.2163873513578,4392.003953926698,4245.145246346791,4360.37131721437,4454.091459862772,4208.685759406151,4245.150437944964,4291.003358310261,4447.090131643594,4421.31098369839,3753.5975546572936,3660.342211487893,4481.751455113916,4333.5884730134585
58,4304.903108907843,4597.296819227477,3869.6447327928645,4301.056745437523,5061.924356579076,4468.85194689871,4441.464319684098,4046.8407501863812,4394.628316761723,4247.769609181815,4362.995680049395,4456.715822697796,4211.310122241174,4247.774800779988,4293.627721145284,4449.714494478618,4423.935346533413,3756.221917492317,3662.9665743229166,4484.375817948939,4336.2128358484815
59,4307.615272424881,4600.008982744516,3872.3568963099037,4303.768908954562,5064.6365200961145,4471.5641104157485,4444.176483201137,4049.55291370342,4397.340480278762,4250.481772698854,4365.707843566433,4459.427986214835,4214.022285758214,4250.486964297027,4296.339884662323,4452.426657995657,4426.647510050452,3758.9340810093563,3665.6787378399554,4487.0879814659775,4338.92499936552
60,4310.414432951351,4602.808143270987,3875.1560568363734,4306.568069481032,5067.435680622585,4474.363270942218,4446.975643727607,4052.3520742298897,4400.1396408052315,4253.280933225324,4368.507004092903,4462.227146741306,4216.8214462846845,4253.286124823497,4299.139045188795,4455.225818522127,4429.446670576923,3761.733241535826,3668.4778983664255,4489.887141992447,4341.724159891991
61,4313.299761035579,4605.693471355214,3878.041384920601,4309.453397565259,5070.321008706812,4477.248599026447,4449.860971811835,4055.237402314118,4403.024968889459,4256.166261309551,4371.392332177131,4465.112474825533,4219.706774368911,4256.171452907724,4302.024373273021,4458.111146606354,4432.3319986611505,3764.6185696200537,3671.363226450653,4492.772470076676,4344.609487976219
62,4316.270401692579,4608.664112012215,3881.012025577602,4312.424038222261,5073.291649363813,4480.219239683447,4452.831612468835,4058.2080429711186,4405.9956095464595,4259.136901966552,4374.362972834131,4468.083115482534,4222.6774150259125,4259.142093564726,4304.995013930023,4461.081787263355,4435.302639318152,3767.5892102770545,3674.333867107654,4495.743110733676,4347.58012863322
63,4319.325474657418,4611.719184977054,3884.067098542441,4315.479111187099,5076.346722328652,4483.274312648286,4455.886685433675,4061.263115935958,4409.050682511299,4262.191974931391,4377.4180457989705,4471.138188447373,4225.732487990752,4262.197166529565,4308.050086894862,4464.136860228195,4438.357712282991,3770.644283241894,3677.388940072493,4498.7981836985155,4350.635201598058
64,4322.464074646041,4614.857784965675,3887.205698531063,4318.6177111757215,5079.485322317274,4486.412912636908,4459.025285422297,4064.4017159245795,4412.189282499921,4265.3305749200135,4380.556645787593,4474.2767884359955,4228.871087979373,4265.335766518187,4311.188686883484,4467.275460216816,4441.496312271612,3773.7828832305154,3680.527540061115,4501.936783687137,4353.77380158668
65,4325.685271623532,4618.0789819431675,3890.4268955085545,4321.838908153212,5082.706519294766,4489.6341096144,4462.246482399788,4067.622912902071,4415.410479477412,4268.551771897504,4383.777842765084,4477.497985413486,4232.092284956865,4268.556963495678,4314.409883860975,4470.496657194308,4444.717509249104,3777.004080208007,3683.7487370386066,4505.15798066463,4356.994998564172
66,4328.98811107971,4621.381821399345,3893.729734964732,4325.141747609391,5086.009358750944,4492.936949070577,4465.549321855966,4070.925752358249,4418.71331893359,4271.854611353682,4387.080682221262,4480.800824869664,4235.395124413043,4271.859802951856,4317.712723317153,4473.799496650486,4448.020348705282,3780.306919664185,3687.051576494784,4508.4608201208075,4360.29783802035
67,4332.371614311962,4624.765324631597,3897.113238196984,4328.525250841642,5089.392861983195,4496.32045230283,4468.932825088218,4074.3092555905014,4422.096822165842,4275.238114585934,4390.464185453514,4484.184328101916,4238.778627645294,4275.243306184108,4321.0962265494045,4477.182999882738,4451.403851937534,3783.6904228964368,3690.4350797270363,4511.844323353059,4363.681341252602
68,4335.834778715259,4628.228489034896,3900.5764026002817,4331.988415244941,5092.856026386492,4499.783616706127,4472.395989491516,4077.7724199937984,4425.559986569139,4278.701278989233,4393.927349856811,4487.647492505213,4242.241792048593,4278.706470587405,4324.559390952702,4480.646164286035,4454.867016340832,3787.153587299734,3693.898244130335,4515.307487756356,4367.144505655899
69,4339.376578079248,4631.770288398884,3904.1182019642706,4335.530214608929,5096.397825750481,4503.325416070115,4475.937788855505,4081.314219357788,4429.101785933129,4282.243078353221,4397.4691492208,4491.189291869203,4245.783591412582,4282.248269951395,4328.101190316692,4484.187963650024,4458.408815704821,3790.6953866637236,3697.4400434943227,4518.849287120345,4370.686305019888
70,4342.995962892337,4635.389673211972,3907.7375867773594,4339.149599422019,5100.01721056357,4506.944800883205,4479.557173668593,4084.933604170876,4432.7211707462175,4285.86246316631,4401.08853403389,4494.808676682292,4249.40297622567,4285.867654764483,4331.72057512978,4487.807348463112,4462.028200517909,3794.3147714768124,3701.0594283074115,4522.468671933434,4374.305689832977
71,4346.691860652694,4639.085570972329,3911.4334845377166,4342.845497182376,5103.713108323927,4510.640698643562,4483.2530714289505,4088.6295019312333,4436.417068506575,4289.558360926667,4404.784431794246,4498.504574442649,4253.098873986027,4289.56355252484,4335.416472890137,4491.503246223469,4465.724098278266,3798.0106692371696,3704.7553260677687,4526.164569693791,4378.001587593334
72,4350.46317618605,4642.856886505685,3915.2048000710724,4346.616812715732,5107.484423857284,4514.412014176917,4487.0243869623055,4092.4008174645887,4440.1883840399305,4293.329676460023,4408.555747327602,4502.275889976005,4256.870189519383,4293.334868058196,4339.187788423493,4495.274561756825,4469.495413811622,3801.781984770525,3708.5266416011245,4529.935885227147,4381.77290312669
73,4354.308791970218,4646.702502289854,3919.050415855241,4350.4624284999,5111.3300396414525,4518.257629961086,4490.870002746476,4096.246433248759,4444.033999824099,4297.175292244192,4412.4013631117705,4506.121505760174,4260.715805303552,4297.180483842365,4343.033404207662,4499.1201775409945,4473.341029595791,3805.6276005546943,3712.3722573852933,4533.781501011316,4385.618518910859
74,4358.227568466249,4650.621278785885,3922.9691923512723,4354.3812049959315,5115.248816137483,4522.176406457118,4494.788779242506,4100.1652097447895,4447.9527763201295,4301.094068740223,4416.320139607801,4510.040282256205,4264.6345817995825,4301.099260338396,4346.952180703693,4503.038954037025,4477.259806091822,3809.546377050725,3716.2910338813244,4537.700277507347,4389.53729540689
75,4362.2183444560915,4654.612054775727,3926.959968341114,4358.371980985773,5119.2395921273255,4526.167182446959,4498.779555232348,4104.155985734631,4451.943552309972,4305.084844730064,4420.3109155976435,4514.031058246046,4268.625357789425,4305.090036328238,4350.942956693535,4507.029730026868,4481.250582081664,3813.537153040567,3720.2818098711664,4541.691053497189,4393.528071396732
76,4366.279937386692,4658.673647706327,3931.0215612717147,4362.4335739163735,5123.301185057926,4530.22877537756,4502.841148162948,4108.2175786652315,4456.005145240572,4309.1464376606655,4424.372508528244,4518.092651176647,4272.686950720025,4309.151629258838,4355.0045496241355,4511.091322957468,4485.312175012264,3817.5987459711673,3724.343402801767,4545.752646427789,4397.589664327332
77,4370.411143720408,4662.804854040043,3935.1527676054307,4366.564780250089,5127.432391391641,4534.359981711275,4506.972354496665,4112.348784998948,4460.136351574288,4313.277643994381,4428.50371486196,4522.223857510363,4276.818157053741,4313.282835592554,4359.135755957851,4515.2225292911835,4489.44338134598,3821.729952304883,3728.4746091354828,4549.883852761505,4401.720870661048
